output_text,input_text,understandability,type_of_claim,type_of_medical_claim,support,harm
"Facial puffiness is a common concern for celebrities and idols, especially before appearances.",a biggest alerting situation for celebrities and Idol members are puffy face the next morning when they need to go up on stage or in front of the camera and members of red velvet makes sure to keep up their face at all times,understandable,opinion,not medical,can't tell,low harm
"Opioid addiction can cause long-term brain changes, potentially leading to relapses even after detoxification and prolonged abstinence.",addiction to opioids may produce long term alterations to the brain and these long-term changes may be responsible for relapses or returning to using the drug after having detox and been separated from the drug for a substantial amount of time,understandable,hedged claim,outcome,uncontroversial statement,harmless
"The cervix can be used to determine ovulation, pregnancy, labor, and other menstrual cycle events.","The cervix gives the exact result of ovulation, pregnancy, labor and many more, the month.",understandable,statement of fact,correlation,uncontroversial statement,harmless
People who see food all day eat more than those who don't.,"Food is a powerful, natural stimuli on the desks of secretaries, and the other half an opaque one. staring them in the face all day ate 71% more than those who couldn't.",understandable,statement of fact,correlation,disputed claim,low harm
Nose acne could be a potential indicator of high blood pressure.,Acne on the nose might have to do with high blood pressure.,understandable,hedged claim,cause/effect,novel claim,low harm
"While 1 tablespoon of diluted apple cider vinegar is typically recommended, a larger amount of pickle juice, approximately half a cup to a cup, may be needed due to its lower vinegar concentration. Alternatively, any type of vinegar can be used.",usually i recommend 1 tablespoon of apple cider vinegar diluted in water but you're going to need more than a tablespoon of pickle juice though because of course this isn't pure vinegar so maybe about half a cup or a cup should have a similar effect or else like i said any type of vinegar works,vague,advice/recommendation,not medical,can't tell,can't tell
The speaker developed RSI in their left hand after learning to use the mouse with their left hand.,I studied using my left hand learn how to use the mouse and it wasn't that long until I studied getting the same problem with my left hand,understandable,statement of fact,cause/effect,uncontroversial statement,some harm
"Normal blood pressure is 120 over 80 millimeters of mercury. If your blood pressure is above 140 over 90, you have high blood pressure. If your blood pressure is below 90 over 60, you have low blood pressure.",a frequent misconception about eating disorders is that they're a choice,understandable,statement of fact,prevention,uncontroversial statement,harmless
"Elephants have the longest estrous cycle of any mammal, lasting 13 to 18 weeks. This means they only have 3-4 fertile cycles per year.",the elephant exhibits the longest spontaneous Ester cycle of any mammal studied to date 13 to 18 weeks in duration thus an elephant May Express only three to four fertile cycles per year,understandable,statement of fact,not medical,uncontroversial statement,harmless
We would then ask her how she would describe her feelings.,We would then ask how she would describe her feelings.,understandable,not a claim,symptom,can't tell,can't tell
