output_text,input_text,understandability,type_of_claim,type_of_medical_claim,support,harm
"EDS can also cause sexual dysfunction, which is a problem with sexual function.",EDS can cause sexual dysfunction.,vague,statement of fact,cause/effect,can't tell,can't tell
"Thick, unhealthy oil can clog hair follicles, trapping oil and leading to bacterial growth and immune system response.",if you have thick unhealthy oil coming through the hair follicle it's going to create blockages on the way up because it's a slower moving and it's struggling to get through that hair follicle so once that happens it creates a blockage within the hair follicle underneath the skin because oil gets trapped bacteria then feeds and our immune system sends in white blood cells to get rid of the blockage and infection,understandable,statement of fact,cause/effect,disputed claim,low harm
African American men have a higher risk of developing and dying from prostate cancer compared to men of other races.,African American men are more likely to develop prostate cancer and die from the disease than men of other races.,understandable,statement of fact,statistics,uncontroversial statement,harmless
"Foods such as white bread, wheat bread, and pizza are high in sugar.",These foods are really high in sugar.,understandable,statement of fact,not medical,uncontroversial statement,harmless
"EDS is a rare condition that affects about 1 in 5,000 people.",EDS is a rare condition.,understandable,statement of fact,statistics,uncontroversial statement,harmless
"A 2013 study compared abdominal massage using almond oil alone versus a blend of almond oil with cinnamon, clove, lavender, and rose essential oils for menstrual pain relief in female students.",A 2013 study compared menstrual pain relief after abdominal massage in two groups of female students one group had massages using only almond oil while the other group had massages using a blend of essential oils that consisted of cinnamon clove lavender and rose in an almond oil base.,understandable,citation,treatment/cure,disputed claim,low harm
The COVID-19 pandemic negatively impacted the quality of some entertainment productions.,the ending might have been a little dumb but that feels very motivated by kobit so I can't fault them too much,understandable,opinion,not medical,can't tell,can't tell
The HPV vaccine is not linked to any serious side effects.,The HPV vaccine is not linked to any serious side effects.,understandable,statement of fact,cause/effect,uncontroversial statement,low harm
"Historically, humans have eaten a diet high in fiber, with over 100 grams per day compared to the less than 15 grams per day in the modern Western diet.",a diet high in fiber is what our stomach what our whole system is used to from this study quote evidence suggests that for most of history the human lineage consumed more indigestible plant material such as grasses sedges and tubers than is present in a typical western style diet over hundred grams per day of dietary fiber compared with less than 15 grams per day in the average modern day diet,understandable,statement of fact,statistics,uncontroversial statement,harmless
Menopausal hormone therapy (MHT) can help to relieve the symptoms of menopause.,Menopausal hormone therapy (MHT) can be an effective treatment for menopausal symptoms.,understandable,hedged claim,treatment/cure,uncontroversial statement,harmless
"Although urinalysis has been used for a long time, there is still much to learn about it.","Urinalysis has been around for a long time, but that does not mean that we know everything we need to know about it.",understandable,not a claim,treatment/cure,uncontroversial statement,harmless
Experiencing domestic violence or abuse as a child can lead to the development of an eating disorder.,Witnessing intense domestic violence or domestic abuse as a child can be a reason for developing an eating disorder.,understandable,hedged claim,correlation,disputed claim,harmless
Low-fat diets can lead to reduced gallbladder activity and impaired bile flow.,"When you're eating a really low fat diet, your gallbladder doesn't have to work as hard to help emulsify those fats, and it doesn't move correctly.",understandable,hedged claim,correlation,disputed claim,some harm
High triglyceride levels are an independent risk factor for cardiovascular disease.,triglycerides are an independent biomarker linked with cardiovascular disease,understandable,statement of fact,cause/effect,can't tell,can't tell
"FBT primarily involves family therapy sessions, with occasional individual sessions for the therapist and the individual. However, the emphasis remains on working together as a family.",so FBT every session is family therapy there are brief sessions with the therapist for the individual alone but the emphasis is on doing this together as a family,vague,statement of fact,treatment/cure,can't tell,can't tell
Bioidentical hormones can be used as hormone replacement therapy for declining hormone levels during perimenopause and menopause.,Bioidentical hormones can be used to replace hormones that decline in perimenopause and menopause.,understandable,hedged claim,treatment/cure,uncontroversial statement,harmless
"Opportunistic infections, characteristic of AIDS, typically affect individuals with CD4 counts below 200 and are caused by pathogens that do not usually cause illness in healthy people.",AIDS defining infections additionally known as opportunistic infections these are these typically occur in persons with CD4 counts under 200. these illnesses can be brought on by bacteria viruses or fungi that ordinarily do not sicken healthy people,understandable,statement of fact,cause/effect,uncontroversial statement,harmless
